id,name_type,name,name_bi
Agapornis roseicollis,syn_name,Psittacus roseicollis,Psittacus roseicollis
Anas platyrhynchos,syn_name,Anas oustaleti,Anas oustaleti
Chlamydera maculata,syn_name,Calodera maculata,Calodera maculata
Chloris chloris,syn_name,Carduelis chloris,Carduelis chloris
Cinclosoma alisteri,syn_name,Cinclosoma cinnamomeum alisteri,Cinclosoma cinnamomeum
Cinclosoma clarum,syn_name,Cinclosoma castanotum clarum,Cinclosoma castanotum
Geophaps plumifera,syn_name,Petrophassa plumifera,Petrophassa plumifera
Ixobrychus dubius,acc_name,Botaurus dubius,Botaurus dubius
Ixobrychus dubius,syn_name,Ixobrychus dubius,Ixobrychus dubius
Ixobrychus dubius,syn_name,Ixobrychus minutus dubius,Ixobrychus minutus
Motacilla tschutschensis,syn_name,Motacilla flava tschutschensis,Motacilla flava
Northiella narethae,syn_name,Northiella haematogaster narethae,Northiella haematogaster
Northiella narethae,syn_name,Psephotus narethae,Psephotus narethae
Psittacula eupatria,syn_name,Psittacus eupatria,Psittacus eupatria
Psittacula eupatria,syn_name,Palaeornis eupatria,Palaeornis eupatria
Psophodes leucogaster,acc_name,Psophodes nigrogularis,Psophodes nigrogularis
Psophodes leucogaster,syn_name,Psophodes leucogaster,Psophodes leucogaster
Spilopelia chinensis,syn_name,Streptopelia chinensis,Streptopelia chinensis
Stercorarius parasiticus,syn_name,Larus parasiticus,Larus parasiticus
Streptopelia roseogrisea,syn_name,Streptopelia risoria,Streptopelia risoria
Acanthagenys rufogularis,syn_name,Acanthogenys rufogularis,Acanthogenys rufogularis
Acanthagenys rufogularis,syn_name,Anthochaera rufogularis,Anthochaera rufogularis
Acanthiza chrysorrhoa,syn_name,Saxicola chrysorrhoa,Saxicola chrysorrhoa
Acanthiza pusilla,syn_name,Motacilla pusilla,Motacilla pusilla
Accipiter cirrocephalus,acc_name,Tachyspiza cirrocephala,Tachyspiza cirrocephala
Accipiter cirrocephalus,syn_name,Accipiter cirrocephalus,Accipiter cirrocephalus
Accipiter cirrocephalus,syn_name,Sparvius cirrocephalus,Sparvius cirrocephalus
Accipiter fasciatus,acc_name,Tachyspiza fasciata,Tachyspiza fasciata
Accipiter fasciatus,syn_name,Accipiter fasciatus,Accipiter fasciatus
Accipiter fasciatus,syn_name,Astur fasciatus,Astur fasciatus
Accipiter novaehollandiae,acc_name,Tachyspiza novaehollandiae,Tachyspiza novaehollandiae
Accipiter novaehollandiae,syn_name,Accipiter novaehollandiae,Accipiter novaehollandiae
Accipiter novaehollandiae,syn_name,Falco novaehollandiae,Falco novaehollandiae
Acridotheres tristis,syn_name,Acridotheres tristas,Acridotheres tristas
Actitis hypoleucos,syn_name,Tringa hypoleucos,Tringa hypoleucos
Aegotheles cristatus,syn_name,Caprimulgus cristatus,Caprimulgus cristatus
Alisterus scapularis,syn_name,Psittacus scapularis,Psittacus scapularis
Amytornis goyderi,syn_name,Amytis goyderi,Amytis goyderi
Amytornis modestus,syn_name,Amytis modesta,Amytis modesta
Amytornis purnelli,syn_name,Diaphorillas textilis purnelli,Diaphorillas textilis
Amytornis striatus,syn_name,Dasyornis striatus,Dasyornis striatus
Anas castanea,syn_name,Mareca castanea,Mareca castanea
Anhinga novaehollandiae,syn_name,Plotus novaehollandiae,Plotus novaehollandiae
Anseranas semipalmata,syn_name,Anas semipalmata,Anas semipalmata
Antigone rubicunda,syn_name,Grus rubicunda,Grus rubicunda
Antigone rubicunda,syn_name,Ardea rubicunda,Ardea rubicunda
Aphelocephala leucopsis,syn_name,Xerophila leucopsis,Xerophila leucopsis
Aphelocephala nigricincta,syn_name,Xerophila nigricincta,Xerophila nigricincta
Aphelocephala pectoralis,syn_name,Xerophila pectoralis,Xerophila pectoralis
Aprosmictus erythropterus,syn_name,Psittacus erythropterus,Psittacus erythropterus
Apus pacificus,syn_name,Hirundo pacifica,Hirundo pacifica
Aquila audax,syn_name,Vultur audax,Vultur audax
Ardea alba,syn_name,Casmerodius albus,Casmerodius albus
Ardea alba,syn_name,Egretta alba,Egretta alba
Ardea intermedia,syn_name,Egretta intermedia,Egretta intermedia
Ardea intermedia,syn_name,Mesophoyx intermedia,Mesophoyx intermedia
