Col_Name,Var_Name,Description
RR,"Restricted range (global range size<50,000 km2 ) species get a 1",
LOCATION,,
,ISL,"1 = Species' breeding is restricted to island(s), 0 = species not restricted to an island"
,RLM,Realm
,A,Australian
,C,Cosmopolitan
,E,Eastern Hemisphere
,F,Afrotropical
,I,Indomalayan
,L,Neotropical
,M,Madagascar & islands
,N,Nearctic
,O,Oceania
,P,Palearctic
,S,South Polar
,W,Wallacea (see: https://unair.ac.id/pre-historic-wallacea-a-melting-pot-of-human-genetic-ancestries/)
,Z,New Zealand & islands
LAT,Latitudinal range of species based on tropics and polar circles.,
,1,Tropical
,2,Tropical-Temperate
,3,Temperate
,4,Temperate-Polar
,5,Tropical-Polar
BODY MASS,,
,Male MinMass,minimum mass value listed for males of the species
,Male MaxMass,maximum mass value listed for males of the species
,Female MinMass,minimum mass value listed for females of the species
,Female MaxMass,maximum mass value listed for females of the species
,Unsexed MinMass,minimum mass value listed for unsexed individuals of the species
,Unsexed MaxMass,maximum mass value listed for unsexed individuals of the species
,Average Mass,"the average value across males, females, and unsexed individuals in the dataset"
ELEVATION (meters above sea level),,
,Xmin,Lowest elevation where species was observed
,NormMin,Normal lowest elevational limit of species
,NormMax,Normal highest elevational limit of species
,Xmax,Highest elevation where species was observed
,,L
,,F
,,M
Elevational Range,"The difference between a species' normal lowest and highest elevational extents. An NA is used for a species where one elevational limit is a number and the other is a letter (L,F,M)",
HABITAT,Habitats are numbered in order of preference,
,F,"Forest, secondary forest, swamp forest, tree-fall gaps, taiga, igapo, varzea"
,BM,Bamboo
,WD,"Acacia woodland, tropical deciduous/dry forest, savanna woodland, palm groves, miombo woodland, thorn forest, Polylepis woodland, pine-oak woodland"
,SH,"Shrubland, scrub, secondary growth (with few trees), cerrado, campo, karoo, thickets, roadside growth, heaths, copses, hedgerow, vine tangle, caatinga, chaco"
,SV,"Savanna, arid plains, wooded grassland, pampas, campos,"
,G,"Grasslands, high altitude flats, puna, altiplano, tundra, tussock, pastures, steppe, paramo, moorland, plateaus, open vegetation"
,PL,"Plains, dry & open areas, semi-desert, steppe, tundra, arid and semi-arid grassland"
,R,"Rocky areas, cliffs, outcrop, inselberg, koppi, escarpment"
,D,"Desert, sand dune (not coastal)"
,A,"Artificial, agricultural, farms, plantations, suburban, quarry, mine, excavation, dams and man-made lakes"
,C,"Sea coast, mangrove, estuary, bays, shores, fjords (only sea coast), coastal dune"
,RV,"Riparian, riverine, gallery forest, stream, running water, wooded ravines"
,W,"Wetlands, lakes, salt lakes, marsh, reedbed"
,SE,"Open sea, pelagic"
,O,Other
,Primary Habitat,The main habitat type utilized by a species
,HB,"Habitat breadth, the number of major habitats used"
DIET,"If a species is noted as infrequently feeding on a food source (e.g., a food sourced described as “rarely” consumed or eaten once to a few times, or feeding that is out of character for a species), this species gets a ""T"" for trace feeding. If a food source is described as “occasionally” being consumed, this is designated with a weight of 1. If a food source is listed as ""also"" being consumed, this is typically scored as a 2 (i.e., ""feeds on insects but also fruit"", fruit would get a 2).",
,Primary Diet,"If a diet column (see below) is greater than or equal to 6, assign that column as primary diet. Else, if none of the weighted categories are 6 or greater, use ""Carnivore"" if the species primarily eat a variety of animal matter, or ''Herbivore' if it eats a variety of plant matter. If a combination of animal and plant, assign 'Omnivore.'"
