Order,Family,Genus,Scientific name,Survival,Age at first breeding,Max longevity,Range centroid of latitude,Body mass,Mean clutch size,Freshwater,Marine,Terrestrial,Minimum altitude,Maximum altitude,Migrant,Extent of Occurrence (breeding/resident),Diet,Nocturnal,Forest
STRUTHIONIFORMES,Struthionidae,Struthio,Struthio camelus,NA,3.5,50,2.49,111000,8,0,0,y,0,3000,Not a Migrant,24000000,PlantSeed,0,0
STRUTHIONIFORMES,Struthionidae,Struthio,Struthio molybdophanes,NA,NA,NA,5.53,NA,NA,0,0,y,0,3000,Not a Migrant,1660000,NA,0,0
STRUTHIONIFORMES,Rheidae,Rhea,Rhea america,NA,2,50,-21.37,23000,21.5,0,0,y,0,1200,Not a Migrant,8420000,Omnivore,0,0
STRUTHIONIFORMES,Rheidae,Rhea,Rhea penta,NA,3,NA,-44.99,23900,20,1,0,y,0,1500,Not a Migrant,859000,PlantSeed,0,0
STRUTHIONIFORMES,Rheidae,Rhea,Rhea tarapacensis,NA,NA,NA,-22.22,NA,NA,1,0,y,1220,4500,Not a Migrant,526000,NA,0,0
STRUTHIONIFORMES,Timidae,Nothocercus,Nothocercus julius,NA,NA,NA,-0.3,674.5,NA,0,0,y,1700,3250,Not a Migrant,1210000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Nothocercus,Nothocercus bopartei,NA,NA,NA,5.34,763,6,0,0,y,500,2500,Not a Migrant,1940000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Nothocercus,Nothocercus nigrocapillus,NA,NA,NA,-12.3,586,NA,0,0,y,2000,3000,Not a Migrant,586000,PlantSeed,0,1
STRUTHIONIFORMES,Timidae,Timus,Timus tao,NA,NA,NA,-9.07,1600.1,5.5,0,0,y,0,1900,Not a Migrant,8520000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Timus,Timus solitarius,NA,NA,15,-22.1,1386.41,10,0,0,y,0,1200,Not a Migrant,1930000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Timus,Timus osgoodi,NA,NA,NA,-11.05,1285,2,0,0,y,900,1400,Not a Migrant,969000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Timus,Timus major,NA,NA,NA,-1.54,1026.21,4.5,0,0,y,0,1500,Not a Migrant,11300000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Timus,Timus guttatus,NA,NA,NA,-5.63,686.18,5.5,0,0,y,0,500,Not a Migrant,5250000,FruiNect,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus berlepschi,NA,NA,NA,3.4,516.83,NA,0,0,y,0,500,Not a Migrant,104000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus cinereus,NA,NA,NA,-3.75,506.63,2,0,0,y,0,700,Not a Migrant,6630000,FruiNect,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus ptaritepui,NA,NA,NA,5.84,411.51,NA,0,0,y,1350,1800,Not a Migrant,1900,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus soui,NA,NA,NA,-4.5,216.16,2.5,0,0,y,0,2000,Not a Migrant,15200000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus obsoletus,NA,NA,NA,-18.17,443.4,4.5,0,0,y,1300,2900,Not a Migrant,11500000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus undulatus,NA,NA,NA,-8.43,564.42,4.5,0,0,y,0,900,Not a Migrant,10600000,FruiNect,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus strigulosus,NA,NA,NA,-8.79,430.58,4,0,0,y,0,500,Not a Migrant,4650000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus duidae,NA,NA,NA,1.17,426,NA,0,0,y,0,500,Not a Migrant,1230000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus erythropus,NA,NA,NA,5.09,485,3,0,0,y,0,1700,Not a Migrant,2750000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus noctivagus,NA,NA,NA,-16.47,561.99,4,0,0,y,0,700,Not a Migrant,2230000,PlantSeed,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus atrocapillus,NA,NA,NA,-14.81,453,NA,0,0,y,0,900,Not a Migrant,137000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus occidentalis,NA,NA,NA,20.85,NA,NA,0,0,y,0,1850,Not a Migrant,173000,NA,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus cinmomeus,NA,NA,NA,18.41,422,3,0,0,y,0,1850,Not a Migrant,1470000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus transfasciatus,NA,NA,NA,-3,283,4,0,0,y,0,1500,Not a Migrant,66700,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus boucardi,NA,NA,NA,15.5,435.62,4.5,0,0,y,0,1800,Not a Migrant,742000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus kerriae,NA,NA,NA,7.18,411.51,NA,0,0,y,0,1500,Not a Migrant,12400,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus variegatus,NA,NA,NA,-3.02,378,1,0,0,y,100,1300,Not a Migrant,9010000,FruiNect,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus brevirostris,NA,NA,NA,-2.04,411.51,NA,0,0,y,0,500,Not a Migrant,1910000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus bartletti,NA,NA,NA,-7.6,241,NA,0,0,y,0,500,Not a Migrant,1990000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus casiquiare,NA,NA,NA,1.4,411.51,NA,0,0,y,100,200,Not a Migrant,273000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus parvirostris,NA,NA,NA,-13.2,198.99,4.5,0,0,y,0,1200,Not a Migrant,7830000,PlantSeed,0,0
STRUTHIONIFORMES,Timidae,Crypturellus,Crypturellus tataupa,NA,NA,NA,-18.31,218.8,4.5,0,0,y,0,1400,Not a Migrant,10600000,Omnivore,0,1
STRUTHIONIFORMES,Timidae,Rhynchotus,Rhynchotus rufescens,NA,NA,NA,-20.65,843.47,3,0,0,y,0,2500,Not a Migrant,8700000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Rhynchotus,Rhynchotus maculicollis,NA,NA,NA,-20.3,843.47,NA,0,0,y,1000,3050,Not a Migrant,331000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Nothoprocta,Nothoprocta taczanowskii,NA,NA,NA,-13.84,475.31,NA,0,0,y,2700,4000,Not a Migrant,16700,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Nothoprocta,Nothoprocta orta,NA,NA,NA,-18.41,619.27,6.5,0,0,y,2500,4800,Not a Migrant,1370000,PlantSeed,0,0
STRUTHIONIFORMES,Timidae,Nothoprocta,Nothoprocta perdicaria,NA,NA,NA,-35.43,458,6.5,0,0,y,400,2000,Not a Migrant,205000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Nothoprocta,Nothoprocta cinerascens,NA,NA,NA,-29.32,523.89,9.5,0,0,y,0,2000,Not a Migrant,1460000,Invertebrate,0,0
STRUTHIONIFORMES,Timidae,Nothoprocta,Nothoprocta pentlandii,NA,NA,NA,-22,300.73,6.5,0,0,y,1500,4000,Not a Migrant,2970000,PlantSeed,0,0
STRUTHIONIFORMES,Timidae,Nothoprocta,Nothoprocta curvirostris,NA,NA,NA,-4.47,376,NA,0,0,y,2800,3700,Not a Migrant,228000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Nothura,Nothura boraquira,NA,NA,NA,-12.5,283,4,0,0,y,0,500,Not a Migrant,4130000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Nothura,Nothura minor,NA,NA,NA,-18.92,165.8,NA,0,0,y,200,1000,Not a Migrant,874000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Nothura,Nothura darwinii,NA,NA,5,-31.14,244.58,5,0,0,y,1000,4300,Not a Migrant,2670000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Nothura,Nothura maculosa,NA,NA,4,-25.85,257.48,5,0,0,y,0,2300,Not a Migrant,5640000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Nothura,Nothura chacoensis,NA,NA,NA,-21.69,226.08,NA,0,0,y,0,500,Not a Migrant,112000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Taoniscus,Taoniscus nus,NA,NA,NA,-18.86,43,3,0,0,y,0,1000,Not a Migrant,1010000,Omnivore,0,0
STRUTHIONIFORMES,Timidae,Eudromia,Eudromia elegans,NA,NA,NA,-37.3,702.9,5.5,0,0,y,0,2500,Not a Migrant,2140000,PlantSeed,0,0
STRUTHIONIFORMES,Timidae,Eudromia,Eudromia formosa,NA,NA,NA,-24.65,772.93,NA,0,0,y,0,500,Not a Migrant,292000,PlantSeed,0,0
STRUTHIONIFORMES,Timidae,Timotis,Timotis pentlandii,NA,NA,NA,-18.63,650,5.5,0,0,y,4000,5300,Not a Migrant,1010000,PlantSeed,0,0
STRUTHIONIFORMES,Timidae,Timotis,Timotis ingoufi,NA,NA,NA,-47.06,730,11.5,0,0,y,200,800,Not a Migrant,508000,PlantSeed,0,0
STRUTHIONIFORMES,Casuariidae,Casuarius,Casuarius casuarius,NA,4,30,-6.96,44000,4,0,0,y,0,1400,Not a Migrant,2300000,FruiNect,0,1
STRUTHIONIFORMES,Casuariidae,Casuarius,Casuarius bennetti,NA,3.5,26,-5.06,34999.99,4,0,0,y,0,3600,Not a Migrant,1190000,FruiNect,0,1
STRUTHIONIFORMES,Casuariidae,Casuarius,Casuarius uppendiculatus,NA,3.5,22,-3.26,46073.85,NA,0,0,y,0,700,Not a Migrant,498000,FruiNect,0,1
STRUTHIONIFORMES,Casuariidae,Dromaius,Dromaius novaehollandiae,NA,2,30,-28.09,34093.25,9.5,0,0,y,0,1600,Nomadic,8800000,Omnivore,0,0
STRUTHIONIFORMES,Casuariidae,Dromaius,Dromaius minor,NA,NA,NA,NA,NA,NA,0,0,y,0,0,Not a Migrant,NA,NA,0,NA
STRUTHIONIFORMES,Casuariidae,Dromaius,Dromaius baudinianus,NA,NA,NA,NA,NA,NA,0,0,y,0,0,Not a Migrant,NA,NA,0,NA
STRUTHIONIFORMES,Apterygidae,Apteryx,Apteryx haastii,NA,NA,15,-41.52,2022.68,1,0,0,y,0,1600,Not a Migrant,15900,Invertebrate,1,0
STRUTHIONIFORMES,Apterygidae,Apteryx,Apteryx owenii,NA,2.5,27,-39.53,1238.29,1.5,0,0,y,0,700,Not a Migrant,47100,Invertebrate,1,1
STRUTHIONIFORMES,Apterygidae,Apteryx,Apteryx mantelli,NA,2,20,-37.84,2320.51,2,0,0,y,0,1000,Not a Migrant,157000,Invertebrate,1,1
STRUTHIONIFORMES,Apterygidae,Apteryx,Apteryx australis,NA,2,35,-45.62,2320.51,2,0,0,y,0,1500,Not a Migrant,39300,Invertebrate,1,0
STRUTHIONIFORMES,Apterygidae,Apteryx,Apteryx rowi,NA,4.000547645,NA,-43.25,NA,NA,0,0,y,0,1000,Not a Migrant,260,NA,1,1
GALLIFORMES,Megapodiidae,Alectura,Alectura lathami,NA,2,25,-22.76,2333.06,12,1,0,y,0,0,Not a Migrant,1770000,PlantSeed,0,1
GALLIFORMES,Megapodiidae,Aepypodius,Aepypodius arfakianus,NA,NA,NA,-5.38,1463.8,20,0,0,y,750,2800,Not a Migrant,685000,Omnivore,0,1
GALLIFORMES,Megapodiidae,Aepypodius,Aepypodius bruijnii,NA,NA,NA,-0.16,192,NA,0,0,y,0,1000,Not a Migrant,1300,Omnivore,0,1
GALLIFORMES,Megapodiidae,Talegalla,Talegalla cuvieri,NA,NA,NA,-2.59,1785,NA,0,0,y,0,1600,Not a Migrant,237000,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Talegalla,Talegalla fuscirostris,NA,NA,NA,-6.82,1314.47,NA,0,0,y,0,800,Not a Migrant,694000,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Talegalla,Talegalla jobiensis,NA,NA,NA,-4.22,1478.81,NA,0,0,y,0,1800,Not a Migrant,500000,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Leipoa,Leipoa ocellata,NA,3.5,28.5,-32.1,1913.89,4,0,0,y,0,0,Not a Migrant,3290000,PlantSeed,0,0
GALLIFORMES,Megapodiidae,Macrocephalon,Macrocephalon maleo,NA,NA,30,-1.66,1563.26,NA,1,1,y,0,1065,Not a Migrant,384000,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Eulipoa,Eulipoa wallacei,NA,NA,NA,-1.57,504.97,NA,0,1,y,0,2000,Not a Migrant,227000,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius nicobariensis,NA,NA,NA,7.37,836.69,NA,0,0,y,0,600,Not a Migrant,8700,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius cumingii,NA,NA,NA,7.52,1044,NA,0,1,y,250,2000,Not a Migrant,2050000,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius bernsteinii,NA,NA,NA,-1.7,768.57,1,0,0,y,0,450,Not a Migrant,33000,Invertebrate,0,0
GALLIFORMES,Megapodiidae,Megapodius,Megapodius tenimberensis,NA,NA,NA,-7.59,875.81,NA,0,0,y,0,0,Not a Migrant,4000,PlantSeed,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius layardi,NA,NA,NA,-15.9,768.57,NA,0,0,y,0,800,Not a Migrant,64400,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius laperouse,NA,NA,NA,11.48,308,NA,0,1,y,0,50,Not a Migrant,481000,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius pritchardii,NA,NA,NA,-15.8,365,NA,1,1,y,0,50,Not a Migrant,1800,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius freycinet,NA,NA,NA,-1.37,642.48,NA,1,0,y,100,450,Not a Migrant,360000,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius geelvinkianus,NA,NA,NA,-0.97,642.48,NA,0,0,y,0,450,Not a Migrant,10800,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius decollatus,NA,NA,5,-4.07,666.34,NA,1,0,y,0,2950,Not a Migrant,510000,Invertebrate,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius eremita,NA,NA,10,-6.29,676.67,NA,0,1,y,0,1500,Not a Migrant,856000,Omnivore,0,1
GALLIFORMES,Megapodiidae,Megapodius,Megapodius reinwardt,NA,NA,NA,-9.76,875.81,5.5,0,0,y,0,1900,Not a Migrant,6560000,PlantSeed,0,1
GALLIFORMES,Cracidae,Chamaepetes,Chamaepetes unicolor,NA,NA,NA,9.43,1135,2.5,0,0,y,450,2250,Not a Migrant,15600,FruiNect,0,1
GALLIFORMES,Cracidae,Chamaepetes,Chamaepetes goudotii,NA,NA,NA,-3.03,727.67,NA,0,0,y,500,3300,Not a Migrant,2530000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelopi,Penelopi nigra,NA,NA,NA,15.24,889.99,2,0,0,y,700,3300,Not a Migrant,198000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope argyrotis,NA,NA,NA,8.93,806.71,NA,0,0,y,900,2400,Not a Migrant,523000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope barbata,NA,NA,NA,-5.38,1179.66,NA,0,0,y,1200,3200,Not a Migrant,16500,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope ortoni,NA,NA,NA,2.73,1179.66,NA,0,0,y,70,3100,Not a Migrant,111000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope montagnii,NA,NA,NA,-3.19,706,2,0,0,y,1800,3450,Not a Migrant,3100000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope marail,NA,NA,NA,2.61,879.67,2.5,0,0,y,100,700,Not a Migrant,1480000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope superciliaris,NA,2,NA,-13.66,894.99,3,1,0,y,0,1100,Not a Migrant,6550000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope dabbenei,NA,NA,NA,-21.04,1230,3,0,0,y,1500,2500,Not a Migrant,32900,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope jacquacu,NA,NA,NA,-4.44,1487.9,2,0,0,y,100,1800,Not a Migrant,5880000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope purpurascens,NA,NA,NA,13.06,2060,2.5,0,0,y,0,2000,Not a Migrant,7470000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope perspicax,NA,NA,NA,3.92,1179.66,2,0,0,y,1300,2150,Not a Migrant,560,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope albipennis,NA,NA,NA,-6.07,1750,NA,0,0,y,300,1385,Not a Migrant,4400,Omnivore,0,1
GALLIFORMES,Cracidae,Penelope,Penelope obscura,NA,NA,NA,-27.18,1770,2.5,0,0,y,0,2200,Not a Migrant,3110000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope pileata,NA,NA,NA,-5.26,1249.79,3.5,0,0,y,0,0,Not a Migrant,1210000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope ochrogaster,NA,NA,NA,-13.81,1179.66,2,0,0,y,0,0,Not a Migrant,1050000,FruiNect,0,1
GALLIFORMES,Cracidae,Penelope,Penelope jacucaca,NA,NA,NA,-9.55,1282,NA,0,0,y,800,1600,Not a Migrant,650000,FruiNect,0,1
GALLIFORMES,Cracidae,Pipile,Pipile pipile,NA,NA,NA,10.76,1816.59,2,0,0,y,400,900,Not a Migrant,2000,FruiNect,0,1
GALLIFORMES,Cracidae,Pipile,Pipile cumanensis,NA,NA,NA,-0.21,1239.22,3,1,0,y,0,1100,Not a Migrant,8440000,FruiNect,0,1
GALLIFORMES,Cracidae,Pipile,Pipile grayi,NA,NA,NA,-15.63,NA,NA,1,0,y,0,1100,Not a Migrant,1180000,NA,0,1
GALLIFORMES,Cracidae,Pipile,Pipile cujubi,NA,NA,NA,-8.86,1195.82,NA,0,0,y,0,0,Not a Migrant,2810000,FruiNect,0,1
GALLIFORMES,Cracidae,Pipile,Pipile jacutinga,NA,NA,NA,-25.01,1240.96,2.5,1,0,y,0,900,Not a Migrant,392000,FruiNect,0,1
GALLIFORMES,Cracidae,Aburria,Aburria aburri,NA,NA,NA,-2.79,1405.08,NA,0,0,y,700,2100,Not a Migrant,1880000,FruiNect,0,1
GALLIFORMES,Cracidae,Oreophasis,Oreophasis derbianus,NA,NA,NA,15.14,2071.54,2,0,0,y,1400,3500,Not a Migrant,56300,Omnivore,0,1
GALLIFORMES,Cracidae,Ortalis,Ortalis vetula,73,2,8.8,19.19,562.6,3,0,0,y,0,1850,Not a Migrant,1540000,FruiNect,0,0
