package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
abind,1.4-8,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/abind,NA,FALSE,FALSE,2024-09-12,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
ape,5.8-1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/ape,NA,FALSE,FALSE,2024-12-16,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
arrow,22.0.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/arrow,NA,FALSE,FALSE,2025-10-29,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
askpass,1.2.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/askpass,NA,FALSE,FALSE,2024-10-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
assertthat,0.2.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/assertthat,NA,FALSE,FALSE,2019-03-21,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
backports,1.5.0,1.5.0,C:/Users/echang/AppData/Local/R/win-library/4.5/backports,C:/Users/echang/AppData/Local/R/win-library/4.5/backports,FALSE,FALSE,2024-05-23,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
base64enc,0.1-3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/base64enc,NA,FALSE,FALSE,2015-07-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
base64url,1.4,1.4,C:/Users/echang/AppData/Local/R/win-library/4.5/base64url,C:/Users/echang/AppData/Local/R/win-library/4.5/base64url,FALSE,FALSE,2018-05-14,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
bayesplot,1.14.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/bayesplot,NA,FALSE,FALSE,2025-08-31,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
BH,1.87.0-1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/BH,NA,FALSE,FALSE,2024-12-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
bit,4.6.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/bit,NA,FALSE,FALSE,2025-03-06,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
bit64,4.6.0-1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/bit64,NA,FALSE,FALSE,2025-01-16,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
blob,1.2.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/blob,NA,FALSE,FALSE,2023-03-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
boot,1.3-31,NA,C:/Program Files/R/R-4.5.1/library/boot,NA,FALSE,FALSE,2024-08-28,CRAN (R 4.5.1),TRUE,C:/Program Files/R/R-4.5.1/library
brew,1.0-10,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/brew,NA,FALSE,FALSE,2023-12-16,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
brio,1.1.5,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/brio,NA,FALSE,FALSE,2024-04-24,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
broom,1.0.11,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/broom,NA,FALSE,FALSE,2025-12-04,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
bslib,0.9.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/bslib,NA,FALSE,FALSE,2025-01-30,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
cachem,1.1.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/cachem,NA,FALSE,FALSE,2024-05-16,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
